# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.by.source.ms,1769817200875000000,1769817260952000000,1
workspaceModel.global.updates.ms,1769817200875000000,1769817260952000000,7
workspaceModel.moduleManagerBridge.newModule.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1769817200875000000,1769817260952000000,0
workspaceModel.save.cache.to.file.ms,1769817200875000000,1769817260952000000,46
jps.library.entities.serializer.load.entities.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1769817200875000000,1769817260952000000,5
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1769817200875000000,1769817260952000000,0
jps.app.storage.content.writer.save.component.ms,1769817200875000000,1769817260952000000,8
jps.facet.change.listener.process.change.events.ms,1769817200875000000,1769817260952000000,0
jps.module.iml.entities.serializer.load.entities.ms,1769817200875000000,1769817260952000000,20
workspaceModel.mutableEntityStorage.put.entity.ms,1769817200875000000,1769817260952000000,4
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1769817200875000000,1769817260952000000,357
workspaceModel.global.updates.count,1769817200875000000,1769817260952000000,1
workspaceModel.mutableEntityStorage.instances.count,1769817200875000000,1769817260952000000,27
jps.global.handle.changed.events.ms,1769817200875000000,1769817260952000000,0
jps.app.storage.content.reader.load.component.ms,1769817200875000000,1769817260952000000,5
workspaceModel.load.cache.from.file.ms,1769817200875000000,1769817260952000000,120
workspaceModel.sync.entities.ms,1769817200875000000,1769817260952000000,0
jps.project.serializers.save.ms,1769817200875000000,1769817260952000000,0
jps.storage.jps.conf.reader.load.component.ms,1769817200875000000,1769817260952000000,2
jps.apply.loaded.storage.ms,1769817200875000000,1769817260952000000,10
jps.global.handle.before.change.events.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleBridge.update.option.ms,1769817200875000000,1769817260952000000,0
